"releaseStage","operationId","summary","apiDocsUrl","method","path","pathParams","requestBodyParams","responseParams","tags","pythonOperation","oauthScopes"
"GA","bindAdministeredLicensingSubscriptionSubscription","Bind networks to a subscription","https://developer.cisco.com/meraki/api-v1/bind-administered-licensing-subscription-subscription/","post","/administered/licensing/subscription/subscriptions/{subscriptionId}/bind","subscriptionId, validate","networkIds","errors, id, insufficientEntitlements, name, networks, quantity, sku, subscriptionId","licensing, configure, subscription, subscriptions","licensing.bindAdministeredLicensingSubscriptionSubscription",""
"GA","getDevice","Return a single device","https://developer.cisco.com/meraki/api-v1/get-device/","get","/devices/{serial}","serial","","address, beaconIdParams, details, firmware, floorPlanId, lanIp, lat, lng, mac, major, minor, model, name, networkId, notes, serial, tags, uuid, value","devices, configure","devices.getDevice","dashboard:general:config:read"
"GA","updateDevice","Update the attributes of a device","https://developer.cisco.com/meraki/api-v1/update-device/","put","/devices/{serial}","serial","address, floorPlanId, lat, lng, moveMapMarker, name, notes, switchProfileId, tags","address, beaconIdParams, details, firmware, floorPlanId, lanIp, lat, lng, mac, major, minor, model, name, networkId, notes, serial, tags, uuid, value","devices, configure","devices.updateDevice","dashboard:general:config:write"
"GA","getDeviceApplianceDhcpSubnets","Return the DHCP subnet information for an appliance","https://developer.cisco.com/meraki/api-v1/get-device-appliance-dhcp-subnets/","get","/devices/{serial}/appliance/dhcp/subnets","serial","","freeCount, subnet, usedCount, vlanId","appliance, monitor, dhcp, subnets","appliance.getDeviceApplianceDhcpSubnets","sdwan:telemetry:read"
"GA","getDeviceAppliancePerformance","Return the performance score for a single MX","https://developer.cisco.com/meraki/api-v1/get-device-appliance-performance/","get","/devices/{serial}/appliance/performance","serial, t0, t1, timespan","","perfScore","appliance, monitor, performance","appliance.getDeviceAppliancePerformance","sdwan:telemetry:read"
"GA","getDeviceAppliancePrefixesDelegated","Return current delegated IPv6 prefixes on an appliance.","https://developer.cisco.com/meraki/api-v1/get-device-appliance-prefixes-delegated/","get","/devices/{serial}/appliance/prefixes/delegated","serial","","","appliance, monitor, prefixes, delegated","appliance.getDeviceAppliancePrefixesDelegated","sdwan:telemetry:read"
"GA","getDeviceAppliancePrefixesDelegatedVlanAssignments","Return prefixes assigned to all IPv6 enabled VLANs on an appliance.","https://developer.cisco.com/meraki/api-v1/get-device-appliance-prefixes-delegated-vlan-assignments/","get","/devices/{serial}/appliance/prefixes/delegated/vlanAssignments","serial","","","appliance, monitor, prefixes, delegated, vlanAssignments","appliance.getDeviceAppliancePrefixesDelegatedVlanAssignments","sdwan:telemetry:read"
"GA","getDeviceApplianceRadioSettings","Return the radio settings of an appliance","https://developer.cisco.com/meraki/api-v1/get-device-appliance-radio-settings/","get","/devices/{serial}/appliance/radio/settings","serial","","channel, channelWidth, fiveGhzSettings, rfProfileId, serial, targetPower, twoFourGhzSettings","appliance, configure, radio, settings","appliance.getDeviceApplianceRadioSettings","sdwan:config:read"
"GA","updateDeviceApplianceRadioSettings","Update the radio settings of an appliance","https://developer.cisco.com/meraki/api-v1/update-device-appliance-radio-settings/","put","/devices/{serial}/appliance/radio/settings","serial","channel, channelWidth, fiveGhzSettings, rfProfileId, targetPower, twoFourGhzSettings","channel, channelWidth, fiveGhzSettings, rfProfileId, serial, targetPower, twoFourGhzSettings","appliance, configure, radio, settings","appliance.updateDeviceApplianceRadioSettings","sdwan:config:write"
"GA","getDeviceApplianceUplinksSettings","Return the uplink settings for an MX appliance","https://developer.cisco.com/meraki/api-v1/get-device-appliance-uplinks-settings/","get","/devices/{serial}/appliance/uplinks/settings","serial","","address, addresses, assignmentMode, authentication, enabled, gateway, interfaces, ipv4, ipv6, nameservers, peerSgtCapable, pppoe, sgt, svis, username, vlanId, vlanTagging, wan1, wan2","appliance, configure, uplinks, settings","appliance.getDeviceApplianceUplinksSettings","sdwan:config:read"
"GA","updateDeviceApplianceUplinksSettings","Update the uplink settings for an MX appliance","https://developer.cisco.com/meraki/api-v1/update-device-appliance-uplinks-settings/","put","/devices/{serial}/appliance/uplinks/settings","serial","address, addresses, assignmentMode, authentication, enabled, gateway, interfaces, ipv4, ipv6, nameservers, password, peerSgtCapable, pppoe, sgt, svis, username, vlanId, vlanTagging, wan1, wan2","address, addresses, assignmentMode, authentication, enabled, gateway, interfaces, ipv4, ipv6, nameservers, peerSgtCapable, pppoe, sgt, svis, username, vlanId, vlanTagging, wan1, wan2","appliance, configure, uplinks, settings","appliance.updateDeviceApplianceUplinksSettings","sdwan:config:write"
"GA","createDeviceApplianceVmxAuthenticationToken","Generate a new vMX authentication token","https://developer.cisco.com/meraki/api-v1/create-device-appliance-vmx-authentication-token/","post","/devices/{serial}/appliance/vmx/authenticationToken","serial","","expiresAt, token","appliance, configure, vmx, authenticationToken","appliance.createDeviceApplianceVmxAuthenticationToken","sdwan:config:write"
"deprecated","blinkDeviceLeds","Blink the LEDs on a device","https://developer.cisco.com/meraki/api-v1/blink-device-leds/","post","/devices/{serial}/blinkLeds","serial","duration, duty, period","duration, duty, period","devices, liveTools","devices.blinkDeviceLeds","dashboard:general:config:write"
"deprecated","getDeviceCameraAnalyticsLive","Returns live state from camera analytics zones","https://developer.cisco.com/meraki/api-v1/get-device-camera-analytics-live/","get","/devices/{serial}/camera/analytics/live","serial","","person, ts, zoneId, zones","camera, monitor, analytics, live","camera.getDeviceCameraAnalyticsLive",""
"deprecated","getDeviceCameraAnalyticsOverview","Returns an overview of aggregate analytics data for a timespan","https://developer.cisco.com/meraki/api-v1/get-device-camera-analytics-overview/","get","/devices/{serial}/camera/analytics/overview","serial, t0, t1, timespan, objectType","","averageCount, endTs, entrances, startTs, zoneId","camera, monitor, analytics, overview","camera.getDeviceCameraAnalyticsOverview",""
"deprecated","getDeviceCameraAnalyticsRecent","Returns most recent record for analytics zones","https://developer.cisco.com/meraki/api-v1/get-device-camera-analytics-recent/","get","/devices/{serial}/camera/analytics/recent","serial, objectType","","averageCount, endTs, entrances, startTs, zoneId","camera, monitor, analytics, recent","camera.getDeviceCameraAnalyticsRecent",""
"deprecated","getDeviceCameraAnalyticsZones","Returns all configured analytic zones for this camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-analytics-zones/","get","/devices/{serial}/camera/analytics/zones","serial","","id, label, regionOfInterest, type, x0, x1, y0, y1","camera, monitor, analytics, zones","camera.getDeviceCameraAnalyticsZones","camera:config:read"
"deprecated","getDeviceCameraAnalyticsZoneHistory","Return historical records for analytic zones","https://developer.cisco.com/meraki/api-v1/get-device-camera-analytics-zone-history/","get","/devices/{serial}/camera/analytics/zones/{zoneId}/history","serial, zoneId, t0, t1, timespan, resolution, objectType","","averageCount, endTs, entrances, startTs","camera, monitor, analytics, zones, history","camera.getDeviceCameraAnalyticsZoneHistory",""
"GA","getDeviceCameraCustomAnalytics","Return custom analytics settings for a camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-custom-analytics/","get","/devices/{serial}/camera/customAnalytics","serial","","artifactId, enabled, name, parameters, value","camera, configure, customAnalytics","camera.getDeviceCameraCustomAnalytics","camera:config:read"
"GA","updateDeviceCameraCustomAnalytics","Update custom analytics settings for a camera","https://developer.cisco.com/meraki/api-v1/update-device-camera-custom-analytics/","put","/devices/{serial}/camera/customAnalytics","serial","artifactId, enabled, name, parameters, value","artifactId, enabled, name, parameters, value","camera, configure, customAnalytics","camera.updateDeviceCameraCustomAnalytics","camera:config:write"
"GA","generateDeviceCameraSnapshot","Generate a snapshot of what the camera sees at the specified time and return a link to that image.","https://developer.cisco.com/meraki/api-v1/generate-device-camera-snapshot/","post","/devices/{serial}/camera/generateSnapshot","serial","fullframe, timestamp","expiry, url","camera, monitor","camera.generateDeviceCameraSnapshot","camera:telemetry:write"
"GA","getDeviceCameraQualityAndRetention","Returns quality and retention settings for the given camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-quality-and-retention/","get","/devices/{serial}/camera/qualityAndRetention","serial","","","camera, configure, qualityAndRetention","camera.getDeviceCameraQualityAndRetention","camera:config:read"
"GA","updateDeviceCameraQualityAndRetention","Update quality and retention settings for the given camera","https://developer.cisco.com/meraki/api-v1/update-device-camera-quality-and-retention/","put","/devices/{serial}/camera/qualityAndRetention","serial","audioRecordingEnabled, motionBasedRetentionEnabled, motionDetectorVersion, profileId, quality, resolution, restrictedBandwidthModeEnabled","","camera, configure, qualityAndRetention","camera.updateDeviceCameraQualityAndRetention","camera:config:write"
"GA","getDeviceCameraSense","Returns sense settings for a given camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-sense/","get","/devices/{serial}/camera/sense","serial","","","camera, configure, sense","camera.getDeviceCameraSense","camera:config:read"
"GA","updateDeviceCameraSense","Update sense settings for the given camera","https://developer.cisco.com/meraki/api-v1/update-device-camera-sense/","put","/devices/{serial}/camera/sense","serial","audioDetection, detectionModelId, enabled, mqttBrokerId, senseEnabled","","camera, configure, sense","camera.updateDeviceCameraSense","camera:config:write"
"GA","getDeviceCameraSenseObjectDetectionModels","Returns the MV Sense object detection model list for the given camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-sense-object-detection-models/","get","/devices/{serial}/camera/sense/objectDetectionModels","serial","","","camera, configure, sense, objectDetectionModels","camera.getDeviceCameraSenseObjectDetectionModels","camera:config:read"
"GA","getDeviceCameraVideoSettings","Returns video settings for the given camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-video-settings/","get","/devices/{serial}/camera/video/settings","serial","","externalRtspEnabled, rtspUrl","camera, configure, video, settings","camera.getDeviceCameraVideoSettings","camera:config:read"
"GA","updateDeviceCameraVideoSettings","Update video settings for the given camera","https://developer.cisco.com/meraki/api-v1/update-device-camera-video-settings/","put","/devices/{serial}/camera/video/settings","serial","externalRtspEnabled","externalRtspEnabled, rtspUrl","camera, configure, video, settings","camera.updateDeviceCameraVideoSettings","camera:config:write"
"GA","getDeviceCameraVideoLink","Returns video link to the specified camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-video-link/","get","/devices/{serial}/camera/videoLink","serial, timestamp","","","camera, configure, videoLink","camera.getDeviceCameraVideoLink","camera:config:read"
"GA","getDeviceCameraWirelessProfiles","Returns wireless profile assigned to the given camera","https://developer.cisco.com/meraki/api-v1/get-device-camera-wireless-profiles/","get","/devices/{serial}/camera/wirelessProfiles","serial","","","camera, configure, wirelessProfiles","camera.getDeviceCameraWirelessProfiles","camera:config:read"
"GA","updateDeviceCameraWirelessProfiles","Assign wireless profiles to the given camera","https://developer.cisco.com/meraki/api-v1/update-device-camera-wireless-profiles/","put","/devices/{serial}/camera/wirelessProfiles","serial","backup, ids, primary, secondary","","camera, configure, wirelessProfiles","camera.updateDeviceCameraWirelessProfiles","camera:config:write"
"GA","getDeviceCellularSims","Return the SIM and APN configurations for a cellular device.","https://developer.cisco.com/meraki/api-v1/get-device-cellular-sims/","get","/devices/{serial}/cellular/sims","serial","","allowedIpTypes, apns, authentication, enabled, iccid, imsi, isPrimary, msisdn, name, password, simFailover, simOrdering, sims, slot, status, timeout, type, username","devices, configure, cellular, sims","devices.getDeviceCellularSims","sdwan:config:read"
"GA","updateDeviceCellularSims","Updates the SIM and APN configurations for a cellular device.","https://developer.cisco.com/meraki/api-v1/update-device-cellular-sims/","put","/devices/{serial}/cellular/sims","serial","allowedIpTypes, apns, authentication, enabled, isPrimary, name, password, simFailover, simOrder, simOrdering, sims, slot, timeout, type, username","allowedIpTypes, apns, authentication, enabled, iccid, imsi, isPrimary, msisdn, name, password, simFailover, simOrdering, sims, slot, status, timeout, type, username","devices, configure, cellular, sims","devices.updateDeviceCellularSims","sdwan:config:write"
"GA","getDeviceCellularGatewayLan","Show the LAN Settings of a MG","https://developer.cisco.com/meraki/api-v1/get-device-cellular-gateway-lan/","get","/devices/{serial}/cellularGateway/lan","serial","","comment, deviceLanIp, deviceName, deviceSubnet, end, fixedIpAssignments, ip, mac, name, reservedIpRanges, start","cellularGateway, configure, lan","cellularGateway.getDeviceCellularGatewayLan","sdwan:config:read"
"GA","updateDeviceCellularGatewayLan","Update the LAN Settings for a single MG.","https://developer.cisco.com/meraki/api-v1/update-device-cellular-gateway-lan/","put","/devices/{serial}/cellularGateway/lan","serial","comment, end, fixedIpAssignments, ip, mac, name, reservedIpRanges, start","comment, deviceLanIp, deviceName, deviceSubnet, end, fixedIpAssignments, ip, mac, name, reservedIpRanges, start","cellularGateway, configure, lan","cellularGateway.updateDeviceCellularGatewayLan","sdwan:config:write"
"GA","getDeviceCellularGatewayPortForwardingRules","Returns the port forwarding rules for a single MG.","https://developer.cisco.com/meraki/api-v1/get-device-cellular-gateway-port-forwarding-rules/","get","/devices/{serial}/cellularGateway/portForwardingRules","serial","","access, allowedIps, lanIp, localPort, name, protocol, publicPort, rules","cellularGateway, configure, portForwardingRules","cellularGateway.getDeviceCellularGatewayPortForwardingRules","sdwan:config:read"
"GA","updateDeviceCellularGatewayPortForwardingRules","Updates the port forwarding rules for a single MG.","https://developer.cisco.com/meraki/api-v1/update-device-cellular-gateway-port-forwarding-rules/","put","/devices/{serial}/cellularGateway/portForwardingRules","serial","access, allowedIps, lanIp, localPort, name, protocol, publicPort, rules","access, allowedIps, lanIp, localPort, name, protocol, publicPort, rules","cellularGateway, configure, portForwardingRules","cellularGateway.updateDeviceCellularGatewayPortForwardingRules","sdwan:config:write"
"GA","getDeviceClients","List the clients of a device, up to a maximum of a month ago","https://developer.cisco.com/meraki/api-v1/get-device-clients/","get","/devices/{serial}/clients","serial, t0, timespan","","adaptivePolicyGroup, description, dhcpHostname, id, ip, mac, mdnsName, namedVlan, recv, sent, switchport, usage, user, vlan","devices, monitor, clients","devices.getDeviceClients","dashboard:general:telemetry:read"
"beta","createDeviceLiveToolsAclHitCount","Enqueue a job to perform an ACL hit count for the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-acl-hit-count/","post","/devices/{serial}/liveTools/aclHitCount","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","aclHitCountId, callback, id, request, serial, status, url","devices, liveTools, aclHitCount","devices.createDeviceLiveToolsAclHitCount","dashboard:general:telemetry:write"
"beta","getDeviceLiveToolsAclHitCount","Return an ACL hit count live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-acl-hit-count/","get","/devices/{serial}/liveTools/aclHitCount/{id}","serial, id","","aclHitCountId, acls, address, counts, destination, error, ipProtocol, ipVersion, ipv4, ipv6, number, objectGroup, operator, policy, port, ports, request, serial, source, status, total, type, url","devices, liveTools, aclHitCount","devices.getDeviceLiveToolsAclHitCount","dashboard:general:telemetry:read"
"GA","createDeviceLiveToolsArpTable","Enqueue a job to perform a ARP table request for the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-arp-table/","post","/devices/{serial}/liveTools/arpTable","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","arpTableId, callback, id, request, serial, status, url","devices, liveTools, arpTable","devices.createDeviceLiveToolsArpTable","dashboard:general:telemetry:write"
"GA","getDeviceLiveToolsArpTable","Return an ARP table live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-arp-table/","get","/devices/{serial}/liveTools/arpTable/{arpTableId}","serial, arpTableId","","arpTableId, entries, error, ip, lastUpdatedAt, mac, request, serial, status, url, vlanId","devices, liveTools, arpTable","devices.getDeviceLiveToolsArpTable","dashboard:general:telemetry:read"
"GA","createDeviceLiveToolsCableTest","Enqueue a job to perform a cable test for the device on the specified ports","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-cable-test/","post","/devices/{serial}/liveTools/cableTest","serial","callback, httpServer, id, payloadTemplate, ports, sharedSecret, url","cableTestId, callback, id, ports, request, serial, status, url","devices, liveTools, cableTest","devices.createDeviceLiveToolsCableTest","dashboard:general:config:write"
"GA","getDeviceLiveToolsCableTest","Return a cable test live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-cable-test/","get","/devices/{serial}/liveTools/cableTest/{id}","serial, id","","cableTestId, error, index, lengthMeters, pairs, port, ports, request, results, serial, speedMbps, status, url","devices, liveTools, cableTest","devices.getDeviceLiveToolsCableTest","dashboard:general:config:read"
"beta","getDeviceLiveToolsClientsDisconnect","Return a client disconnect job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-clients-disconnect/","get","/devices/{serial}/liveTools/clients/disconnect/{id}","serial, id","","error, id, mac, request, results, serial, status, success, url","devices, liveTools, clients, disconnect","devices.getDeviceLiveToolsClientsDisconnect","wireless:config:read"
"beta","createDeviceLiveToolsCyclePort","Enqueue a job to perform a cycle port for the device on the specified ports","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-cycle-port/","post","/devices/{serial}/liveTools/cyclePort","serial","callback, httpServer, id, payloadTemplate, ports, sharedSecret, url","callback, cyclePortId, id, ports, request, serial, status, url","devices, liveTools, cyclePort","devices.createDeviceLiveToolsCyclePort","dashboard:general:config:write"
"beta","getDeviceLiveToolsCyclePort","Return a cycle port live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-cycle-port/","get","/devices/{serial}/liveTools/cyclePort/{id}","serial, id","","cyclePortId, error, ports, request, serial, status, url","devices, liveTools, cyclePort","devices.getDeviceLiveToolsCyclePort","dashboard:general:config:read"
"beta","createDeviceLiveToolsDhcpLease","Enqueue a job to perform a DHCP leases request for the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-dhcp-lease/","post","/devices/{serial}/liveTools/dhcpLeases","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","callback, dhcpLeasesId, id, request, serial, status, url","devices, liveTools, dhcpLeases","devices.createDeviceLiveToolsDhcpLease",""
"beta","getDeviceLiveToolsDhcpLease","Return a DHCP leases live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-dhcp-lease/","get","/devices/{serial}/liveTools/dhcpLeases/{dhcpLeasesId}","serial, dhcpLeasesId","","dhcpLeases, dhcpLeasesId, error, expiresAt, ip, mac, request, serial, status, url","devices, liveTools, dhcpLeases","devices.getDeviceLiveToolsDhcpLease",""
"GA","createDeviceLiveToolsLedsBlink","Enqueue a job to blink LEDs on a device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-leds-blink/","post","/devices/{serial}/liveTools/leds/blink","serial","callback, duration, httpServer, id, payloadTemplate, sharedSecret, url","callback, duration, error, id, ledsBlinkId, request, serial, status, url","devices, liveTools, leds, blink","devices.createDeviceLiveToolsLedsBlink","dashboard:general:config:write"
"GA","getDeviceLiveToolsLedsBlink","Return a blink LEDs job","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-leds-blink/","get","/devices/{serial}/liveTools/leds/blink/{ledsBlinkId}","serial, ledsBlinkId","","duration, error, ledsBlinkId, request, serial, status, url","devices, liveTools, leds, blink","devices.getDeviceLiveToolsLedsBlink","dashboard:general:config:read"
"GA","createDeviceLiveToolsMacTable","Enqueue a job to request the MAC table from the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-mac-table/","post","/devices/{serial}/liveTools/macTable","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","callback, id, macTableId, request, serial, status, url","devices, liveTools, macTable","devices.createDeviceLiveToolsMacTable","dashboard:general:telemetry:write"
"GA","getDeviceLiveToolsMacTable","Return a MAC table live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-mac-table/","get","/devices/{serial}/liveTools/macTable/{macTableId}","serial, macTableId","","entries, error, mac, macTableId, port, request, serial, status, url, vlanId","devices, liveTools, macTable","devices.getDeviceLiveToolsMacTable","dashboard:general:telemetry:read"
"GA","createDeviceLiveToolsMulticastRouting","Enqueue a job to perform a Multicast routing request for the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-multicast-routing/","post","/devices/{serial}/liveTools/multicastRouting","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","callback, id, multicastRoutingId, request, serial, status, url","devices, liveTools, multicastRouting","devices.createDeviceLiveToolsMulticastRouting",""
"GA","getDeviceLiveToolsMulticastRouting","Return a Multicast routing live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-multicast-routing/","get","/devices/{serial}/liveTools/multicastRouting/{multicastRoutingId}","serial, multicastRoutingId","","error, flags, group, incomingInterfaceName, interfaces, ip, multicastRoutingId, name, neighbors, outgoingInterfaceNames, rendezvousPoint, request, routes, serial, source, status, subnet, url","devices, liveTools, multicastRouting","devices.getDeviceLiveToolsMulticastRouting",""
"beta","createDeviceLiveToolsOspfNeighbor","Enqueue a job to perform a OSPF neighbors request for the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-ospf-neighbor/","post","/devices/{serial}/liveTools/ospfNeighbors","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","callback, id, ospfNeighborsId, request, serial, status, url","devices, liveTools, ospfNeighbors","devices.createDeviceLiveToolsOspfNeighbor",""
"beta","getDeviceLiveToolsOspfNeighbor","Return an OSPF neighbors live tool job.","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-ospf-neighbor/","get","/devices/{serial}/liveTools/ospfNeighbors/{ospfNeighborsId}","serial, ospfNeighborsId","","error, id, ip, name, ospfNeighborsId, position, request, routers, serial, state, status, url, vlanId","devices, liveTools, ospfNeighbors","devices.getDeviceLiveToolsOspfNeighbor",""
"GA","createDeviceLiveToolsPing","Enqueue a job to ping a target host from the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-ping/","post","/devices/{serial}/liveTools/ping","serial","callback, count, httpServer, id, payloadTemplate, sharedSecret, target, url","callback, count, id, pingId, request, serial, status, target, url","devices, liveTools, ping","devices.createDeviceLiveToolsPing","dashboard:general:telemetry:write"
"GA","getDeviceLiveToolsPing","Return a ping job","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-ping/","get","/devices/{serial}/liveTools/ping/{id}","serial, id","","average, count, latencies, latency, loss, maximum, minimum, percentage, pingId, received, replies, request, results, sent, sequenceId, serial, size, status, target, url","devices, liveTools, ping","devices.getDeviceLiveToolsPing","dashboard:general:telemetry:read"
"GA","createDeviceLiveToolsPingDevice","Enqueue a job to check connectivity status to the device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-ping-device/","post","/devices/{serial}/liveTools/pingDevice","serial","callback, count, httpServer, id, payloadTemplate, sharedSecret, url","callback, count, id, pingId, request, serial, status, url","devices, liveTools, pingDevice","devices.createDeviceLiveToolsPingDevice","dashboard:general:telemetry:write"
"GA","getDeviceLiveToolsPingDevice","Return a ping device job","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-ping-device/","get","/devices/{serial}/liveTools/pingDevice/{id}","serial, id","","average, callback, count, id, latencies, latency, loss, maximum, minimum, percentage, pingId, received, replies, request, results, sent, sequenceId, serial, size, status, url","devices, liveTools, pingDevice","devices.getDeviceLiveToolsPingDevice","dashboard:general:telemetry:read"
"beta","createDeviceLiveToolsReboot","Enqueue a job to reboot a device","https://developer.cisco.com/meraki/api-v1/create-device-live-tools-reboot/","post","/devices/{serial}/liveTools/reboot","serial","callback, httpServer, id, payloadTemplate, sharedSecret, url","callback, error, id, rebootId, request, serial, status, url","devices, liveTools, reboot","devices.createDeviceLiveToolsReboot","dashboard:general:config:write"
"beta","getDeviceLiveToolsReboot","Return a reboot job","https://developer.cisco.com/meraki/api-v1/get-device-live-tools-reboot/","get","/devices/{serial}/liveTools/reboot/{rebootId}","serial, rebootId","","error, rebootId, request, serial, status, url","devices, liveTools, reboot","devices.getDeviceLiveToolsReboot","dashboard:general:config:read"
